adj,noun
strong,train
big,holes
extra,stories
next,roll
special,features
spooky,tree
black,checkers
clear,bag
small,artifact
little,artifact
small,car
newfound,powers
blue,feet
special,helmet
purple,head
yellow,mouth
tougher,bark
big,dog
yellow,fish
colored,water
other,ants
other,bugs
certain,way
last,time
little,house
green,yogurt
little,bracelet
short,i@l
wrong,baby
black,lid
yellow,crayon
new,book
wet,day
big,bumps
lazy,day
sleepy,day
heavy,things
real,roosters
nurse,nurse
nice,job
other,side
Good,job
little,thing
next,day
large,plant
long,nap
right,place
muddy,feet
little,feet
good,throw
purple,flower
wee,cough
shiny,ship
red,cone
whole,one
bad,knight
good,muffins
new,toy
hot,springs
hot,water
hot,game
little,sale
little,toddler
green,guy
new,ones
old,blanket
small,piece
big,slide
nice,color
green,color
next,week
enough,water
fun,stuff
blue,chicken
different,colors
black,pencil
little,bunnies
front,door
sharp,teeth
powerful,tales
huge,jaws
strong,jaws
female,alligator
black,snakes
male,alligator
crazy,kid
funny,bone
better,time
hard,zipper
first,time
little,harder
different,bottle
tiny,cookies
little,dogs
little,person
last,night
red,ball
yellow,ball
green,ball
blue,ball
little,flower
excellent,job
red,stripe
hot,coffee
little,tower
good,player
long,line
green,place
northern,lights
southern,lights
deep,plains
short,hand
dizzy,baby
deep,water
little,baby
purple,ball
silly,baby
very,top
red,caps
brown,caps
blue,caps
little,guy
little,buddy
more,sausage
little,water
electric,car
new,box
yellow,one
black,one
sweet,potato
green,eggs
whole,deck
windy,day
big,slab
whole,plum
fancy,foods
pink,crayon
enough,cheese
green,pepper
green,tomatoes
hungry,bunny
red,colors
orange,rain
next,one
new,school
close,cousin
elephant,cousin
favorite,animal
new,drill
new,diaper
Scooby,honey
big,brother
good,plan
other,pictures
good,pictures
straight,edge
right,spot
silly,guy
whole,row
little,line
tall,church
skinny,church
rough,kind
big,chunk
orange,thing
front,piece
purple,screws
red,ones
ok,rest
same,number
little,young
bright,tail
bad,mood
fun,show
little,show
good,move
happy_go_lucky,dog
new,letters
like,people
orange,ones
white,chair
fish,tank
whole,bunch
big,bus
yellow,school
snuggly,baby
big,ship
soft,site
fluffy,feather
soft,feather
bright,feather
green,crayon
red,truck
red,cab
funny,truck
little,caterpillar
little,tree
fastest,color
green,circle
big,puzzle
big,hug
first,book
good,mess
good,nap
special,treat
big,baby
whole,bag
mean,knocks
first,pig
little,pig
third,pig
nice,spot
new,+.
big,sign
red,stop
nice,circle
nice,designs
little,designs
mean,one
nose,+full
red,shoes
fat,boy
pretty,skate
dark,color
bad,girl
little,mark
hot,mark
ow,ow
big,woman
tall,woman
big,mess
black,cat
healthy,fish
little,teeth
big,pumpkin
strong,pig
blue,sky
purple,car
blue,truck
bigger,tree
red,guy
best,square
sorry,boys
brown,paper
brown,table
pretty,#
good,news
meanest,guys
slow,baby
little,dinosaurs
little,bubble
yucky,pigeons
good,movie
messy,guy
silly,stuff
good,books
slowly,raises
old,building
antique,building
new,library
whole,lot
wrecking,ball
tiny,snack
different,paper
other,turtle
cute,birdie
little,birdie
nice,pot
big,pot
brown,dots
young,girl
little,airplane
last,piece
good,rub
old,rub
big,hugs
nice,book
own,pictures
magnificent,worlds
ocean,worlds
cute,bear
polar,bear
new,blanket
blue,one
blue,popsicle
little,confusing
orange,sunset
big,world
big,muscles
strong,muscles
left,hand
long,cord
big,dino
special,powers
regular,people
invisible,people
big,alligator
enough,alligator
purple,food
real,life
good,Max
big,bridge
flat,edge
green,piece
empty,buses
yellow,buses
large,bus
silly,sheep
right,hand
different,things
few,minutes
next,winter
different,bracelet
gorgeous,day
other,day
ok,girls
yellow,rain
silver,bells
cockle,shells
green,light
own,game
yellow,piece
soft,blanket
small,spoon
little,tub
hot,tub
beautiful,day
purple,spider
blue,spider
brown,stuff
empty,food
real,game
hard,game
real,elephant
hungry,eagle
little,eagle
red,cells
same,one
sticky,bars
oatmeal,cookies
last,teeth
wisest,teeth
gold,tooth
wrong,book
new,spot
big,sale
new,page
next,letter
little,piggie
good,Matthew
big,letters
bad,dream
elephant,ear
little,hairs
prickly,hairs
old,books
big,books
new,legs
rough,neck
whole,peel
whole,skin
fat,story
actual,bacon
stinky,diaper
right,leg
attractive,woman
little,buggy
little,sister
other,room
dippy,soup
little,car
black,stripe
dark,lollipop
little,design
straight,track
better,people
little,people
good,man
sticky,stuff
orange,taste
more,letters
ok,guys
own,eggs
pretty,shoes
white,shoes
plain,milk
little,muffins
big,muffins
black,doggie
little,bear
little,hat
medical,hat
old,kit
different,hat
different,hats
good,luck
nice,friends
big,spot
young,woman
enough,money
old,brown
favorite,color
little,ways
white,gloves
tall,hat
black,hat
good,stuff
dirty,ground
white,sauce
next,page
ugly,woman
great,day
more,worms
enough,flies
good,food
nourishing,food
last,slide
different,kinds
right,foods
best,friend
whole,world
wide,world
last,day
next,trick
young,man
best,trick
beautiful,flowers
little,way
little,ducklings
own,pumpkins
little,card
new,donuts
new,friends
dry,butt
good,sneeze
ok,girl
wiggly,girl
green,button
gross,story
&cartoony,story
real,worms
typical,acre
new,soil
rich,soil
rotten,tomatoes
little,teeny
tiny,hairs
front,end
long,lip
upper,lip
other,worms
small,elevator
right,dog
little,brothers
little,sisters
pretty,flowers
next,picture
short,sword
