doc_id,sentence,adj_lower,noun_token
10221201173,Mom and Dad are very happy.,happy,ROOT
10221201199,"slowly they open they're little mouths and whisper &pitter+patter, &fuddy+buddy.",open,ROOT
10221201245,that's how scared they are of fish bumping into their legs.,scared,ROOT
10221201435,Joseph-'s mother and father were sad to let their little boy leave home but they packed his bags and waved as six year+old Joseph+Haydn left happily for Cousin+Franc-'s house in Hamburg.,sad,ROOT
10221201459,you must come and sing at the choir at St+Stephen-'s cathedral in Vienna.,cathedral,ROOT
10221201465,his voice was so good that now he was singing all the solos.,good,ROOT
10221201700,Mr+Ruder was so angry that he sent Joseph away from St+Stevens.,angry,ROOT
10221201875,that was you were six months old.,old,ROOT
10240100308,ready for your soup?,ready,ROOT
10240100313,you ready for soup?,ready,ROOT
10240100393,is your mouth all full?,full,ROOT
10240100628,my work is never done.,done,ROOT
10240100634,"my favorite color is red.""",red,ROOT
10240101634,your cookies should be soft now?,soft,ROOT
10240200084,"""my favorite color is red.""",red,ROOT
10240200232,mommy never was much of an artist.,much,ROOT
10240200337,too bad we don't have the rest of them.,bad,ROOT
10240300028,"this book is pretty long, isn't it?",long,ROOT
10240300114,"""it is I, Grover, all ready for bed.""",ready,ROOT
10240300118,"""then, I will be ready for bed""",ready,ROOT
10240300133,"""he was glad it was bed+time""",glad,ROOT
10240300210,"""I am very tired from this ###""",tired,ROOT
10240300254,"""teddy+bear, oh little bear, you are small, brown, and fuzzy.""",bear,ROOT
10240300268,"""I, Grover, will be brave in another dark and mysterious place.""",brave,ROOT
10240300278,is Teddy_Bear in the closet?,bear,ROOT
10240300385,"ok, chew up the rest of your food.",ok,ROOT
10240300620,"""in the beginning, he was really splendid.""",splendid,ROOT
10240300621,"""he was fat and bunchy as rabbits should be""",fat,ROOT
10240300771,is Ernie's rubber duckie blue?,blue,ROOT
10240300777,"yeah, his duckie's yellow.",yellow,ROOT
10240301050,ready for her bath?,ready,ROOT
10240400643,you ready to make her shirt?,ready,ROOT
10240500222,should be some more in your box.,more,ROOT
10240500600,"ok, you ready to help me make the tree now?",ready,ROOT
10240500752,the tea+pot's all gone or the tea's all gone?,gone,ROOT
10240501076,"sure you don't want to eat in your seat, Zoe?",sure,ROOT
10240600503,now open it all the way up.,open,ROOT
10240700384,this is kind of a turquoisy blue.,kind,ROOT
10240700858,"when it's dark in a room -- and you can't see, what do you turn on?",dark,ROOT
10240700890,I'm not sure shite is a word.,sure,ROOT
10240701261,so it can't be dish because dish starts with a d@l.,dish,ROOT
10240701610,"no, arms are up -- above your head.",up,ROOT
10240701715,"oh, I'm way too old to do cartwheels.",old,ROOT
10240701882,were they sad or were they happy blocks?,sad,ROOT
10240702526,so that's why the big quster is mad at him?,mad,ROOT
10240800388,they're not dirty but they have -- different colors of paint+ on them.,dirty,ROOT
10240800582,"ok, now Zoe, part of cleaning up -- is also cleaning the brushes.",zoe,ROOT
10240800597,"because if you don't clean the brushes, then the next time you paint+, the paintbrushes will be all hard and you won't be able to use them.",hard,ROOT
10240800708,"no, it's sixtwenty, so -- in a few minutes.",sixtwenty,ROOT
10240800988,"ok so the snail is under Rainbow_Fish, so where would he be on -- on your picture?",ok,ROOT
10240801745,ok what are you going to mail to your friends and family?,ok,ROOT
10240801935,his beard is white.,white,ROOT
10240801941,his cheeks are really kind of pinky.,kind,ROOT
10240802376,well that will be nice for you to share.,nice,ROOT
10240900322,"and so the flamingos, they were very sad.",sad,ROOT
10240901102,"ok, but you can make another word.",ok,ROOT
10240901585,his last name is Tricky?,tricky,ROOT
10240902070,the baby chicks aren't ready yet.,ready,ROOT
10241000105,because it's wide open for the bishop too.,open,ROOT
10241000158,you're right in line with my bishop could take your bishop now.,right,ROOT
10241000518,"no, it's not really as big as &snuffie.",big,ROOT
10241000949,because fish is good for you right?,right,ROOT
10241001060,ok you going to put that one back?,ok,ROOT
10241001449,you won't be able to see yourself until they send us a d_v_d.,able,ROOT
10241001629,ok maybe we can do it from some other angle.,ok,ROOT
10241002150,you ready to read some books because it's almost bed+time and you need to get up and go to fast tracks in the morning?,ready,ROOT
10241002330,ok they're mad so this is my sister fights --,ok,ROOT
10241100086,my wings are sore and it is too cold.,sore,ROOT
10241100134,"although they tried to hang on, the purple bugs were slippery and the lady+bugs slid down, down, down to the hard ground.",slippery,ROOT
10241100146,"no aphids, no passage through Ant+alley.",alley,ROOT
10241100187,ok we need to keep the story.,ok,ROOT
10241100288,ok so you move two spaces so you lose two aphids.,ok,ROOT
10241100442,you're good at getting those aphids.,good,ROOT
10241100805,"alright, but you need to use a roller.",alright,ROOT
10241100973,that's enough -- that's enough paint on that picture Zoe.,enough,ROOT
10241101193,Scrabble again like we did last night.,scrabble,ROOT
10241200315,rice is not spicy and shrimp.,spicy,ROOT
10241200362,"ok, Zoe that's how you get no brownie then.",ok,ROOT
10241200366,"alright, you ready to go to bed?",ready,ROOT
10241200509,"so ok so you put water in your -- your plant, right?",ok,ROOT
10241201275,ok I'll read that one Barbie one.,ok,ROOT
10241201320,so would they be able to go in the air like that?,able,ROOT
10241201389,ok you can't get any brownies until you eat some more of that.,ok,ROOT
10241201518,man quit being wild.,wild,ROOT
10241201725,but don't be wild and hit your head.,wild,ROOT
10241201784,"you ok, kiddo?",ok,ROOT
10250100153,"good, get his arm.",good,ROOT
10250100552,"ok, that's not nice, honey",nice,ROOT
10250100647,it's too high up in the air,high,ROOT
10250200222,what's wrong with your choo+choo train?,wrong,ROOT
10250200233,"what's wrong, honey?",wrong,ROOT
10250200345,"Nathan, what's wrong, honey?",wrong,ROOT
10250200588,"that's great, Jake, thanks.",great,ROOT
10250200899,"you're ok, honey.",ok,ROOT
10250300058,ready for our morning diversion?,ready,ROOT
10250300160,"it's not nice for people to be pointing things at you all day, is it?",nice,ROOT
10250300214,"on a funny scale, that was almost too funny.",funny,ROOT
10250300318,you're ready for your choo+choos.,ready,ROOT
10250300494,"what's up, bub?",up,ROOT
10250300578,"your sweater is good enough, but we need your folder.",enough,ROOT
10250300630,be sure to get all your injuries on camera.,sure,ROOT
10250300671,"ah, that's a little early for the jump, mister.",early,ROOT
10250300843,"what's wrong, kiddo?",wrong,ROOT
10250300903,you sure,sure,ROOT
10250400237,you're so tired today.,tired,ROOT
10250400798,"that's ok, honey.",ok,ROOT
10250401459,"I'm only interested in these kind, Jacob.",interested,ROOT
10250500078,"glad we tried fixing your hair today, huh?",glad,ROOT
10250500841,what's wrong with your head?,wrong,ROOT
10250501721,are you sure you don't want to color?,sure,ROOT
10250600583,"oh no, that's too long in between honey.",long,ROOT
10250700041,and this is for more of your cars.,more,ROOT
10250700668,"ok so Nathan, why don't you go ahead and start putting your stuff away.",ok,ROOT
10250701220,your brain is tired?,tired,ROOT
10250701622,"honey, this is bad -- now.",bad,ROOT
10250701653,"yeah, and now he's all hard so he's got to stay as a bear.",hard,ROOT
10250800063,he was a little bit sick too.,sick,ROOT
10250800739,"hm+mm, he's a little bit older.",older,ROOT
10250801222,"ok, you should be right on the front.",right,ROOT
10250801262,"all right, so we got some baby pictures of Nathan.",right,ROOT
10250801332,what's wrong with your finger?,wrong,ROOT
10250801509,that's how you spell x@l is x@l.,x@l,ROOT
10250801517,how you spell x@l is x@l.,x@l,ROOT
10250801749,and I'm sure we went to Mcdonald's once or twice around that time.,sure,ROOT
10250801750,"all right, now we're getting to -- this year.",right,ROOT
10250802410,"say, oh, I'm stuck in the box.",stuck,ROOT
10250802422,"when you see the blue light go on, you got to go oh, I'm stuck in the box.",stuck,ROOT
10250802457,I'm stuck in the box.,stuck,ROOT
10250802582,"ok, as soon as that light goes on you have to say something, ok?",ok,ROOT
10250803028,"they're like, things that go underwater with --",like,ROOT
10250803386,I'm sorry you hurt your head.,sorry,ROOT
10250900216,you did most of this one by yourself.,most,ROOT
10250900448,"really, it's not much of an eye, honey.",much,ROOT
10250900519,you're lucky that you have pennies.,lucky,ROOT
10250900718,mommy's leg is asleep so we have to --,asleep,ROOT
10250900805,"ok then, look for a little bit of red and a little white.",ok,ROOT
10250901311,but it's only white you got to put it more this way.,white,ROOT
10250901712,"you're not wet, honey.",wet,ROOT
10250902351,"all right, now what kind of cereal do you want?",right,ROOT
10250902669,is your snack good?,good,ROOT
10250902766,you're good at coloring.,good,ROOT
10250902923,it's really slow and just trace the line.,slow,ROOT
10251000060,a few -- a few monsters sleeping.,few,ROOT
10251000359,ok so we're all doing our paper work.,ok,ROOT
10251000538,you're very good at coloring.,good,ROOT
10251000902,which letter is a@l inside that box?,a@l,ROOT
10251001406,"no, I'm not very good at hiding.",good,ROOT
10251001588,"no, it's n@l to an a@l.",n@l,ROOT
10251001808,that's c@l for camel.,c@l,ROOT
10251100042,ok and I'll get your crayons.,ok,ROOT
10251200004,ok you have a choice.,ok,ROOT
10251200118,well ok now why don't you set -- look at there's one on top of the number there.,set,ROOT
10251200128,right but which one's the nine and which one's the six?,right,ROOT
10251200300,oh ok because that's what these things.,ok,ROOT
10251200339,ok where's -- what's the next one?,ok,ROOT
10251200466,I'm sure there's a turtle on there.,sure,ROOT
10251201012,ok you're ### right in her face --,ok,ROOT
10251201047,I'm not good at that kind of stuff.,good,ROOT
10251201050,Mommy's not really good at that building stuff.,good,ROOT
10251201130,ok what color is the bunny wearing?,ok,ROOT
10251201411,I'm surprised you didn't play eeny+meeny+miny+mo with all your pieces Jake@n.,surprised,ROOT
10251201511,like twenty times I'm sure.,sure,ROOT
10251201596,oh the red -- yeah it must be down+stairs.,red,ROOT
10270100307,Are you thirsty?,thirsty,ROOT
10270100504,it's easier to get around this way,easier,ROOT
10270100650,you're being kind of quiet,kind,ROOT
10270101808,help mom clean?,clean,ROOT
10270200114,"it's green, so we have to match it up for the green.",green,ROOT
10270200729,that silly ball gets stuck all the time.,stuck,ROOT
10270201101,"""Clifford is the biggest and reddest dog around.""",biggest,ROOT
10270201279,you ready for lunch?,ready,ROOT
10270201321,you ready for lunch?,ready,ROOT
10270201495,that's very nice to offer her a grape.,nice,ROOT
10270201527,are you ready for your hot dog?,ready,ROOT
10270202147,your eyes are blue.,blue,ROOT
10270202181,mom's hair is brown.,brown,ROOT
10270202194,you all done with your picture?,done,ROOT
10270202373,you kind of tired from your lunch?,tired,ROOT
10270300347,you're being kind of quiet.,kind,ROOT
10270300539,"""the snow+man is amazed.""",amazed,ROOT
10270300615,"""help them find things to eat that are red, blue, green, yellow, purple, pink and brown.""",red,ROOT
10270301133,I'm tired after that big long bike ride.,tired,ROOT
10270301424,that's not nice to kick.,nice,ROOT
10270301462,the back door is open.,open,ROOT
10270301470,oh good riding the school bus!,good,ROOT
10270301500,"ok I'm running out of verses, Boo.",ok,ROOT
10270301808,"baby bear is brown, isn't he?",brown,ROOT
10270301899,"butterflies are purple, too, aren't they?",purple,ROOT
10270400436,"mice are quiet, aren't they?",quiet,ROOT
10270400796,"yeah, it's kind of hard, isn't it, from that angle.",kind,ROOT
10270401259,"""are you ready to go to his birth+day party?""",ready,ROOT
10270401268,"""Elmo is so happy that you came to Elmo's birth+day party.""",happy,ROOT
10270401325,it's right by your crib.,right,ROOT
10270401344,"""taing pictures is fun!""",fun,ROOT
10270401564,"well, an orange is orange in color.",orange,ROOT
10270402132,"it's hard to -- drink your juice while you're driving, isn't it?",hard,ROOT
10270402330,"are we tired after a long day at the zoo, and the aquarium and the water+slides?",tired,ROOT
10270402399,it's hard to get in there because his skinny neck.,hard,ROOT
10270500039,"it's hard to walk on your knees, isn't it?",hard,ROOT
10270500639,they're too big for the baby crayons.,big,ROOT
10270500877,are you excited to do blocks?,excited,ROOT
10270501181,the ladder was not tall enough to come up here -- so -- we can't do it.,enough,ROOT
10270501582,you're just ready to dance to a few songs?,ready,ROOT
10270502052,"""'one of my reindeer is sick,' he told the Wiggles sadly.""",sick,ROOT
10270502054,"""I'm afraid I can't deliver my Christmas presents.""",afraid,ROOT
10270502059,mommy was sick last week too.,sick,ROOT
10270502232,"""wags, the dog, was so happy to see them, he did a cartwheel for joy.""",happy,ROOT
10270502270,"""I'm so happy that we can -- happy that we could help Santa deliver his presents to the good boys and girls all over the world.""",happy,ROOT
10270502291,"""Santa was grateful to the Wiggles for all their help.""",grateful,ROOT
10270502302,"""none of the stores are open.""",open,ROOT
10270502318,"""I'd be happy to be a present for Santa.""",happy,ROOT
10270502703,we'll be stuck in our house with all the balloons!,stuck,ROOT
10270600155,the message machine is loud.,loud,ROOT
10270600398,sun -- setting sun is orange and red.,orange,ROOT
10270600400,ok what other colors would you like?,ok,ROOT
10270600620,ok why don't you put the paints in the blue box.,ok,ROOT
10270600790,that's like -- the hole like a crater in a volcano.,like,ROOT
10270600971,"oh, he might be too fat to get in the door.",fat,ROOT
10270600974,door doesn't really open for him.,open,ROOT
10270601096,it's cold in the house?,cold,ROOT
10270601228,that'd be kind of fun.,kind,ROOT
10270601313,are they ready to drive the car yet?,ready,ROOT
10270601535,the other bag because this one's getting kind of full.,full,ROOT
10270700145,because then it won't be yellow anymore or orange.,yellow,ROOT
10270700187,my rain+bow is kind of funny looking.,kind,ROOT
10270700423,it's kind of thicker than the other stuff.,thicker,ROOT
10270700678,ok you want to do your markers in the other room on Kayley's card?,ok,ROOT
10270700972,it's fine on the tape.,fine,ROOT
10270701058,that's good coloring inside the lines.,good,ROOT
10270701516,"oh, I'm not sure what that piece.",sure,ROOT
10270701587,hm mommy's not right.,right,ROOT
10270701990,because he's not hungry at the moment but he will be.,hungry,ROOT
10270702042,"are you ok, mister?",ok,ROOT
10270800581,it's really gentle on the top.,gentle,ROOT
10270800664,these ones kind of hard -- these are hard to get off.,hard,ROOT
10270800712,this is very fun with your brother.,fun,ROOT
10270801062,my hands are sticky.,sticky,ROOT
10270801170,careful when you have scissors.,careful,ROOT
10270801180,you're kind of coming this way.,kind,ROOT
10270801224,"that's enough, hon.",enough,ROOT
10270801333,"ooh, it's a little bigger but I bet if you stretch your arms up over your head, you're bigger.",bigger,ROOT
10270801336,you're bigger than the chain.,bigger,ROOT
10270801389,"it -- it's -- it's just hard to do, hon.",hard,ROOT
10270801711,better hurry up or the vulture will get it.,better,ROOT
10270801727,"the sun is very warm, isn't it, coming in?",warm,ROOT
10270801784,ok get your crayons.,ok,ROOT
10270801922,"ooh, the sun is hot, isn't it?",hot,ROOT
10270802085,and this one was twentyfive because there are twentyfive days of --,twentyfive,ROOT
10270802274,you're good at keeping secrets.,good,ROOT
10270802290,we'll be cold in the snow?,cold,ROOT
10270900204,while I get your fruit ready?,ready,ROOT
10270900373,was it hard to use a knife?,hard,ROOT
10270901082,that's good for your letters.,good,ROOT
10270901610,it's right -- by the fireplace.,right,ROOT
10270902895,ok do you have s@l for snake?,ok,ROOT
10270903243,you are good at these games.,good,ROOT
10271000194,you're a little involved in your game.,involved,ROOT
10271000607,you are good at this game.,good,ROOT
10271001058,it was fun at the airport?,fun,ROOT
10271001175,"and that -- oh, the onions were great the other night.",great,ROOT
10271001184,purple ###,purple,ROOT
10271001209,and the big tomatoes are next to the little tomatoes.,next,ROOT
10271001303,he can -- be good at ripping up the grass?,good,ROOT
10271001384,you'd be about -- thirty feet tall ###,tall,ROOT
10271001395,because it would have been too big for the space back there.,big,ROOT
10271001557,my hands are cold in the shade.,cold,ROOT
10271001717,"oop, that one wasn't ready, but that's Ok.",ready,ROOT
10271002028,this is kind of cool shapes,kind,ROOT
10271002050,that's dangerous for babies.,dangerous,ROOT
10271002150,or else you might be stuck to the chair all day.,stuck,ROOT
10271002175,that's dangerous for a little baby.,dangerous,ROOT
10271002424,"ok, and then could you do some purple things.",ok,ROOT
10271002747,"yeah, and the chocolate chips are separate which I like.",separate,ROOT
10271002857,that would be very good if we put ice cream in the middle and had a cookie sandwich.,good,ROOT
10271100838,she's not ready to play toys yet.,ready,ROOT
10271101074,you're a little wild today.,wild,ROOT
10271101222,what else is in your monster fort -- in your monster truck.,fort,ROOT
10271102087,"ok, and then I have to make some orange juice.",ok,ROOT
10271102102,you guys are thirsty after a big day of dancing.,thirsty,ROOT
10271200383,"ok, name and trace the letters.",ok,ROOT
10271200384,so the big o@l and the little o@l are the same.,same,ROOT
10271200468,you're sick of coloring?,sick,ROOT
10271200548,now these are kind of tricky.,kind,ROOT
10271200584,well it's good for your tummy.,good,ROOT
10271200683,well my mind is frozen as to another q@l word.,frozen,ROOT
10271200733,"ok, to color each rose on the bush that has a capital r@l or a small r@l on it.",ok,ROOT
10271200815,yeah it's hard to do with a big apple in your mouth.,hard,ROOT
10271200895,now circle all the capital v@ls and small v@ls.,circle,ROOT
10271201134,are you still hungry at all honey?,hungry,ROOT
10271201513,you were closer to the elephant.,closer,ROOT
10271201515,yeah that's closest to the elephant.,closest,ROOT
10271201607,"whoop, careful, there's a whole bunch of stuff up there.",careful,ROOT
10271201692,"oh, my hand's stuck.",stuck,ROOT
10280100411,"as long as there aren't any little shoes, these are okay for her.",okay,ROOT
10280100461,oh good all the dollies on the chair.,good,ROOT
10280100506,"that's not good for your, for your retainer._",good,ROOT
10280100804,it's a bit too big.,big,ROOT
10280100947,Smaller than his warrior.,smaller,ROOT
10280200642,it's a lot faster?,faster,ROOT
10280200670,your little tosie's cold?,cold,ROOT
10280200763,"well, that's ok, honey.",ok,ROOT
10280200940,you will not be able to get on your thing.,able,ROOT
10280201204,more pictures will be ready today from our trip.,ready,ROOT
10280201574,maybe his feet are cold.,cold,ROOT
10280201843,oh my goodness gracious.,gracious,ROOT
10280300643,"all right, and I'm going to get the Road_Block game and then I'll play that with you since Joan's --",right,ROOT
10280300669,that color is so pretty on you.,pretty,ROOT
10280300727,are you sure it's not in your box?,sure,ROOT
10280300829,it's a little tough with this little noisy one here.,tough,ROOT
10280301263,"Ooo, you're feet are cold.",cold,ROOT
10280301618,"it'd be fun to go see them in their natural habitat, huh?",fun,ROOT
10280301830,"no, those are more for ###.",more,ROOT
10280400235,the water's not as cold today.,cold,ROOT
10280400819,your shoe's dirty.,dirty,ROOT
10280401161,"oh, that's trash from the package, huh?",trash,ROOT
10280401288,it's hot in the sun.,hot,ROOT
10280401289,when the sun comes out it's hot.,hot,ROOT
10280401494,oh my goodness gracious.,gracious,ROOT
10280500235,this one was a little different from the other one.,different,ROOT
10280500460,it was so dark in the morning.,dark,ROOT
10280500467,it gets darker and darker for a few more weeks.,darker,ROOT
10280500868,you're hands are sticky.,sticky,ROOT
10280500937,floor is cold and she's --,cold,ROOT
10280501221,"it's so bright in your room, huh?",bright,ROOT
10280501729,that's close enough ###.,close,ROOT
10280600655,my skin's icky too.,icky,ROOT
10280600710,"alright, or do you want to come up now and do some school?",alright,ROOT
10280600734,"all gone, but put them in your little refrigerator.",gone,ROOT
10280700227,"""doggy tails are fun to chew.""",fun,ROOT
10280700278,"that's right, ###.",right,ROOT
10280700338,and it's kind of white at the end.,white,ROOT
10280700666,"be careful, there a lot of nails.",careful,ROOT
10280700719,"Actually, they're not always so good to have around the house.",good,ROOT
10280701021,"that's right, save your money.",right,ROOT
10280800202,but your hands are cold so your feet must be cold.,cold,ROOT
10280800262,oh he's nice he's got wheels on the bottom of his feet.,nice,ROOT
10280800855,these are fun -- these are made out of rushes.,fun,ROOT
10280800885,oh my goodness gracious.,gracious,ROOT
10280801296,that's kind of a weird thing.,kind,ROOT
10280801448,"nutcrackers are very popular, aren't they?",popular,ROOT
10280801479,I'm sure they'll be a time to.,sure,ROOT
10280900349,ok why don't you use Lucy's hairbrush?,ok,ROOT
10280900473,oh so sorry my dear.,sorry,ROOT
10280900651,"that horse is very patient, isn't he?",patient,ROOT
10280900746,I'm just worried about your finger.,worried,ROOT
10280900747,because if he bites your finger I'll be right down.,right,ROOT
10280900938,oh that might be good for my cold -- good for colds.,good,ROOT
10280901059,is your restaurant very busy?,busy,ROOT
10281000173,"um, I'm sure this is not the high tech --",sure,ROOT
10281000195,"well I'm so glad I didn't put an island in here, you know?",glad,ROOT
10281000519,your mouth is full.,full,ROOT
10281000626,because that story -- that that movie that you watched isn't true.,true,ROOT
10281000659,other people were jealous of him.,jealous,ROOT
10281000732,"what are you -- I'm sorry, I was chatting on the phone.",sorry,ROOT
10281000836,"outside -- ew, mice are dirty.",dirty,ROOT
10281100149,my goodness gracious.,gracious,ROOT
10281100156,careful on the stairs little witch with those boots.,careful,ROOT
10281100372,"oh good, they give you extras in case you lose them.",good,ROOT
10281100493,sometimes it's easier to do it that way and then do it --,easier,ROOT
10281100619,not enough super glue in the world for the plastic toys.,glue,ROOT
10281100620,your hands are cold.,cold,ROOT
10281101131,and you -- you'll be so happy when you see the job you did.,happy,ROOT
10281101152,well most of the ones on the bottom --,most,ROOT
10281101454,oh my hands are cold.,cold,ROOT
10281200031,as long as the light gets -- the door gets shut it's perfect.,perfect,ROOT
10281200213,right now you are four years old.,old,ROOT
10281200214,you're forty inches tall.,tall,ROOT
10281200270,I'm sure she's got copies of them but they're uh --,sure,ROOT
10281200319,of course my eyes are bad.,bad,ROOT
10281200334,oh my goodness gracious.,gracious,ROOT
10281200367,oh my goodness gracious.,gracious,ROOT
10281200402,"it is plain sand, but when water is forced upward through the sand, the grains are pushed apart and the sand swells.",sand,ROOT
10281200442,ok so there's water and there's quick+sand and then there's springs.,ok,ROOT
10281200469,if you are alone and if you have a stick with you.,alone,ROOT
10281200498,next time don't be so careless and watch where you're going.,careless,ROOT
10281200523,"### ok, turn up the water and sand will --",ok,ROOT
10281200772,"sure as I'm telling you wife, you'll have to dig them up yourself.",sure,ROOT
10281200775,all because Jamie was too lazy to dig a larger garden and had no money to buy good potato seed.,lazy,ROOT
10281200778,then poor,poor,ROOT
10281200808,sure that I wouldn't be knowing it Jamie whispered but I swear it's a leprechaun.,sure,ROOT
10281200809,and sure enough sitting on a circle of ferns in the moonlight was a leprechaun singing and hammering tiny nails into the heels of the fairy boots he was making.,sure,ROOT
10281200849,it was so big it pushed up not only all the dirt in the garden but the garden shed --,big,ROOT
10281200886,"that pratie@f is so big that no one -- no cart, nothing can get by it the constable complained.",big,ROOT
10281200917,because he's sick of potatoes.,sick,ROOT
10281200923,shepherd's pie might be good for dinner.,good,ROOT
10281200964,yeah they're sick of potatoes.,sick,ROOT
10281201145,your hands are freezing.,freezing,ROOT
